,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,TWEET,USERNAME,DATE,TIME,bertweet_label,bertweet_score,robertweet_label,robertweet_score,emotiontweet_label,emotiontweet_score,flairtweet_label,flairtweet_score,zeroshot_label,zeroshot_score,Final_label
0,0,0,0,this mistake by government is an extremely serious one and will cause deaths,DrBrianDay,2018-08-03,13:52:46,negative,0.9817184209823608,negative,0.9630007147789,anger,0.6677923798561096,negative,0.9999125003814696,negative,0.6648386716842651,negative
1,1,1,1,vancouver records ghastly death count from suspected overdoses mayor,AnizKhalfan,2018-08-06,03:23:37,negative,0.9674922823905944,negative,0.9045536518096924,fear,0.9040290713310242,negative,0.9746102690696716,negative,0.4935652315616607,negative
2,2,2,2,clare gerada in memoriamdoctors who have died by suicide or accidental death  via,AnizKhalfan,2018-08-13,04:44:23,neutral,0.5494104623794556,negative,0.6236045360565186,sadness,0.9760353565216064,positive,0.9814662933349608,negative,0.5595970749855042,negative
3,3,3,3,i worry about how we ensure that human contact and relationships endure otherwise loneliness will prevail,DrRFernandez,2018-08-20,15:26:26,neutral,0.5887132883071899,negative,0.7493032217025757,sadness,0.9688632488250732,positive,0.7671120166778564,negative,0.4151160717010498,negative
4,4,4,4,government believes it owns and controls the bodies of its citizens no concern for human rights as patients are forced to suffer permanent harm suffering and even death,DrBrianDay,2018-08-30,15:36:33,negative,0.9533902406692504,negative,0.9399494528770448,sadness,0.9496586322784424,negative,0.9184704422950744,negative,0.5086719393730164,negative
5,5,5,5,loneliness is a serious publichealth problem  all the lonely people social connections important for resilience for chronic pain,AnizKhalfan,2018-09-03,06:03:28,negative,0.8398085832595825,negative,0.6727451086044312,joy,0.9217578172683716,negative,0.9664920568466188,negative,0.6473367810249329,negative
6,6,6,6,digital ambassadors are such a great idea  highly recommend this to and for upcoming events,DrRFernandez,2018-09-06,16:46:40,positive,0.99147230386734,positive,0.985024094581604,joy,0.997128427028656,positive,0.9980873465538024,positive,0.5733994245529175,positive
7,7,7,7,yes factors that impact resilience are social connections seeking professional support exercise sleep optimism emotional intelligence meaning making amongst others,AnizKhalfan,2018-09-15,01:38:10,positive,0.7688837051391602,neutral,0.7545613646507263,joy,0.9881900548934937,positive,0.991859257221222,positive,0.4333227872848511,positive
8,8,8,8,lets spead the word new film pulls back curtain on physician suicide,AnizKhalfan,2018-09-15,20:15:49,neutral,0.913033962249756,neutral,0.7898679971694946,sadness,0.9332415461540222,positive,0.9366922974586488,negative,0.3930772840976715,neutral
9,9,9,9,a beautiful tribute mary so sorry for your loss,AnizKhalfan,2018-09-22,05:12:48,positive,0.956479549407959,positive,0.5882326364517212,sadness,0.9885579347610474,positive,0.9920893907546996,negative,0.4393143057823181,positive
10,10,10,10,bc govt by april   of colonoscopy patients    will wait longer than the maximum acceptable time the oct ban on colonoscopy in private centres adds cancer patients to those wait lists eliminating a safety valve that existed for years deaths will result,DrBrianDay,2018-09-28,02:31:20,negative,0.956613063812256,negative,0.7660542130470276,joy,0.5946770310401917,negative,0.9980034232139589,negative,0.5528821349143982,negative
11,11,11,11,kavanaugh has revealed the insidious force in global politics toxic masculinity  jonathan freedland this sadly a man of our time how did this happen,AnizKhalfan,2018-09-29,13:18:56,negative,0.9823442697525024,negative,0.7917019724845886,anger,0.7021496891975403,positive,0.913303017616272,negative,0.3831587135791778,negative
12,12,12,12,md burnout an alarming problem cma president says via,AnizKhalfan,2018-10-10,12:26:17,negative,0.9662835597991944,negative,0.7086792588233948,fear,0.6542830467224121,negative,0.9997738003730774,negative,0.4885834157466888,negative
13,13,13,13,bc government lawyers a functioning health care system must prioritize differently for elective conditions the prioritization process takes into account the fact that no risk of death arises with respect to elective surgerycontrast that with reality,DrBrianDay,2018-10-13,20:02:21,neutral,0.7681390643119812,neutral,0.707248330116272,joy,0.9252668619155884,positive,0.8155657649040222,neutral,0.3625580966472626,neutral
14,14,14,14,loneliness is a problem for seniors,DrRFernandez,2018-10-19,08:32:19,negative,0.9663981199264526,negative,0.8806227445602417,sadness,0.9926000833511353,negative,0.9840506911277772,negative,0.6040122509002686,negative
15,15,15,15,how a bench and a team of grandmothers can tackle depression via,DrSarahJCook,2018-10-19,14:06:20,neutral,0.9471856951713562,neutral,0.7788061499595642,sadness,0.9577698707580566,positive,0.9967474937438964,negative,0.4929283857345581,neutral
16,16,16,16,sad to see that this happens baylor pediatrics residents gave advice to staff and we all got a sample of one at ,mclaughlin_tom,2018-10-20,20:07:17,negative,0.9471499919891356,negative,0.7538062930107117,joy,0.8257697820663452,negative,0.9988763928413392,negative,0.4766320288181305,negative
17,17,17,17,work with patients to do a personal pain web to see various ways in which it impacts identity including relationships social isolation hobbies work wellness depression anxiety loss anger and need to address so much more other than just pain and activities of daily living,AnizKhalfan,2018-10-21,21:38:42,neutral,0.891459047794342,neutral,0.548973798751831,sadness,0.5831606984138489,positive,0.9949824810028076,negative,0.4143101572990417,neutral
18,18,18,18,im sorry lisa thats sad,DocSchmadia,2018-10-25,11:23:23,negative,0.9690293669700624,negative,0.8131900429725647,sadness,0.9978867173194884,negative,0.9968359470367432,negative,0.4577090144157409,negative
19,19,19,19,its season and a is your best bet at avoiding serious health problems including heart attacks breathing problems pneumonia and possibly deathprotect yourself protect your loved one,DocSchmadia,2018-11-05,08:51:59,neutral,0.7395272850990295,neutral,0.5127684473991394,joy,0.4213611185550689,positive,0.9976189732551576,negative,0.4374947249889374,neutral
20,20,20,20,well said  role clarity is essential otherwise people really do confuse what a naturopath can do what a doctor does and as we saw in the case of the alberta toddlers death the difference is lifealtering and profound,DocSchmadia,2018-11-06,09:09:59,neutral,0.609549880027771,neutral,0.5595465898513794,fear,0.8213772177696228,positive,0.9991056323051452,negative,0.3948589563369751,neutral
21,21,21,21,benefits from teambased care connecting family docs and specialists to interdisciplinary teams is a necessary stepgovernment education campaigns around  screen time stress bullying is also needed and missingmy cents,DocSchmadia,2018-11-10,22:17:23,neutral,0.7257125973701477,positive,0.6410400867462158,sadness,0.797642707824707,positive,0.9788427352905272,negative,0.3854949176311493,positive
22,22,22,22,sleuthsayers part  physician burn out and suicide the road t,AnizKhalfan,2018-11-11,15:53:26,negative,0.933110237121582,negative,0.7448083162307739,sadness,0.7868847846984863,negative,0.967937171459198,negative,0.5979266166687012,negative
23,23,23,23,truly a loss,JeanSeely,2018-11-16,10:17:40,negative,0.9683827757835388,negative,0.7852222919464111,sadness,0.5361096262931824,negative,0.999964475631714,negative,0.5109469890594482,negative
24,24,24,24,on  i met family docs who struggle to keep their clinics afloat with thousands of patients between them they are seriously considering leavingits sadas it is it takes  years to get a family doc here,DocSchmadia,2018-11-19,00:30:33,negative,0.942504107952118,negative,0.8455376625061035,anger,0.8210495114326477,positive,0.8753783702850342,negative,0.4319627285003662,negative
25,25,25,25,you appear to be a sincere person all would love a system that offered everything to everyone at no cost sadly that cant happen we must care for the vulnerable but the rich can selfinsure every canadian government incl ndp has left the poor without accesssee cihi,DrBrianDay,2018-11-19,02:39:25,neutral,0.5305159687995911,neutral,0.4348625540733337,joy,0.9904852509498596,positive,0.9715209007263184,negative,0.3429558575153351,neutral
26,26,26,26,being a patient is hard the unknown the loss of control the roller coaster of emotions ive always been inspired to try to make that journey easier on my patientstotally agree,DocSchmadia,2018-11-29,13:19:27,neutral,0.8404968976974487,positive,0.6859277486801147,joy,0.998533010482788,negative,0.8631133437156677,negative,0.3608691990375519,negative
27,27,27,27,icymi if everyone got the  we would decrease the number of deaths and complications from  even if youre young and healthy the time you save by preventing the flu mattersget the flu shot it just makes sensevia,DocSchmadia,2018-12-05,15:48:21,neutral,0.6464030742645264,neutral,0.4617296457290649,joy,0.9903027415275574,negative,0.9988749623298644,negative,0.3673561215400696,negative
28,28,28,28,sadly these are basic guidelines that primary healthcare workers in the community should know the fact they dont may be a failure on our part to teach them properly,ShielaAppavoo,2018-12-09,01:09:57,negative,0.8979336023330688,negative,0.6926838159561157,sadness,0.9016997814178468,positive,0.6096649169921875,negative,0.3942353427410126,negative
29,29,29,29,rates of screened women deaths in purple unscreened women in red followed since about  i know which colour id rather be,ShielaAppavoo,2018-12-10,13:32:52,negative,0.9309365749359132,neutral,0.6618954539299011,fear,0.8483383655548096,negative,0.9995232820510864,negative,0.3794124126434326,negative
30,30,30,30,making that phone call from hospital in the middle of night bearing the news of sudden death of someones loved one is never easy,CalvinTongMD,2018-12-10,14:15:31,negative,0.6178081631660461,negative,0.8765395283699036,love,0.967951238155365,negative,0.976379096508026,negative,0.66904616355896,negative
31,31,31,31,managing stress as a family doctor reschedule reprioritise recharge and review,DrRFernandez,2018-12-11,14:42:48,neutral,0.92556232213974,neutral,0.8599632382392883,sadness,0.6503456830978394,positive,0.765101969242096,negative,0.348308652639389,neutral
32,32,32,32,do you really feel thats why breast imagers are concerned about these guidelines this is from landmark study tell me which colour youd prefer to be screened are purple unscreened are red deaths per k,ShielaAppavoo,2018-12-12,19:15:27,negative,0.716995120048523,neutral,0.6078884601593018,fear,0.9561693072319032,negative,0.9986957907676696,negative,0.3497305512428283,negative
33,33,33,33,some people think temporary anxiety is worse than unnecessary death and some people think saving budget money is better than saving lives,ShielaAppavoo,2018-12-13,04:19:17,negative,0.903050661087036,negative,0.8295629024505615,sadness,0.6917202472686768,negative,0.991340696811676,negative,0.4407277107238769,negative
34,34,34,34,yes kevin probably most reduction in longevity due to loneliness uk appointed a loneliness minister to address this montreal and toronto i understand gps giving out passes as prescription toward this,AnizKhalfan,2018-12-13,06:22:15,negative,0.7723179459571838,neutral,0.6923383474349976,sadness,0.9202606081962584,negative,0.8722629547119141,negative,0.3726628124713897,negative
35,35,35,35,bars in red deaths from breast cancer in women not screened bars in purple  fewer deaths from breast cancer in women screened whats your choice,JeanSeely,2018-12-13,12:38:08,negative,0.9557103514671326,neutral,0.5369358062744141,fear,0.4627284109592438,negative,0.9979896545410156,negative,0.3897377550601959,negative
36,36,36,36,the reason for recommendations  number goal is to reduce deaths from breast cancer,JeanSeely,2018-12-14,12:44:04,neutral,0.6592901945114136,neutral,0.7184043526649475,joy,0.757143497467041,positive,0.9410931468009948,negative,0.5697320699691772,neutral
37,37,37,37,this is the essence of the tradeoff between anxiety and late cancer detection overemphasis of harms leads to very bad things its wrongthinking,ShielaAppavoo,2018-12-14,13:39:23,negative,0.9732365608215332,negative,0.956362783908844,anger,0.8035963177680969,negative,0.9930509328842164,negative,0.449692964553833,negative
38,38,38,38,the irony of that statement anxiety related to a possible cancer diagnosis is appropriate advising women to avoid that anxiety by potentially allowing the most common cause of death yo to go undetected now that is inappropriate,ShielaAppavoo,2018-12-14,14:30:47,negative,0.9269604086875916,negative,0.7979862689971924,fear,0.7889220118522644,negative,0.8361589908599854,negative,0.383292555809021,negative
39,39,39,39,there were more deaths in the screening limb in the first years because of this systematic error of randomizationthey also used mammo equipment that had been retired by the early s do you think the quality of evidence is limited to study design,ShielaAppavoo,2018-12-15,14:00:28,negative,0.9575899839401244,negative,0.827110767364502,sadness,0.9660899043083192,negative,0.9998486042022704,negative,0.3924622237682342,negative
40,40,40,40,this is an excellent summary of the reasons why the task force guidelines are outdated and will cause loss of lives from,JeanSeely,2018-12-16,11:01:02,negative,0.9731955528259276,negative,0.6859474182128906,sadness,0.9946194887161256,negative,0.9999631643295288,negative,0.4524002373218536,negative
41,41,41,41,sadly the amount of work we have to do in a day doesnt permit this much time spent on each case if we did that the wait lists would become unthinkable the tradeoff for timely care must be time efficiency we need more hours in a day can you read your report and see images,ShielaAppavoo,2018-12-16,18:15:04,negative,0.901189386844635,negative,0.8309500813484192,anger,0.431888222694397,negative,0.99479877948761,negative,0.3965530395507812,negative
42,42,42,42, node positive and  palpable in the screening limb more deaths in screening limb in st yrssomething was rotten with the cnbss a few things actually ridiculously bad randomization and very poor imaging obsolete even for the early s,ShielaAppavoo,2018-12-18,04:13:07,negative,0.9815877676010132,negative,0.858781635761261,sadness,0.9831619262695312,negative,0.9999711513519288,negative,0.3727222084999084,negative
43,43,43,43,new mothers absolutely need better medical care and emotional support as they make this important transition to motherhoodfamily doctors see moms and babies  times in the first months of life when we care for families together we do better,DrRFernandez,2018-12-19,23:09:47,neutral,0.5686244964599609,positive,0.5576269030570984,joy,0.9969964027404784,positive,0.6321064829826355,negative,0.411594033241272,positive
44,44,44,44,this would be so good for our patients lets do this for bc new initiative to combat anxiety and loneliness via,AnizKhalfan,2018-12-22,12:50:17,positive,0.9631636142730712,positive,0.959011435508728,joy,0.9754059314727784,positive,0.7503383755683899,positive,0.3717274665832519,positive
45,45,45,45,sadly if he ignores his defence advisors he aint taking twitter advice,ShielaAppavoo,2018-12-22,16:58:37,negative,0.9564231634140016,negative,0.7245908379554749,anger,0.5639554858207703,negative,0.968467652797699,neutral,0.4695614874362945,negative
46,46,46,46,holidays are a beautiful time for reflection and writing  great opportunity for  although im sad they didnt go with my suggested title the real housestaff of canada,bechardmel,2018-12-27,23:00:15,positive,0.9414650797843932,positive,0.6107929944992065,joy,0.5844085216522217,positive,0.9947682619094848,negative,0.3807609677314758,positive
47,47,47,47,excellente analyse il faut investir fond dans une nouvelle education qui va permettre la masse de sadapter ce nouveau monde cf guerre des intelligences laurent alexandre,gsoulez,2019-01-12,13:45:37,neutral,0.9564132690429688,neutral,0.7006189823150635,joy,0.9326022267341614,positive,0.998895227909088,positive,0.4382306337356567,neutral
48,48,48,48,the encouraging centrepieces are a nice touch thanks for lessening the royal college exam stress just a bit,bechardmel,2019-01-12,15:33:44,positive,0.986949384212494,positive,0.9788401126861572,joy,0.997853457927704,positive,0.9933630228042604,positive,0.3903837502002716,positive
49,49,49,49,great thread enjoyed reading that of course much of it resonated sadly,indysahota,2019-01-14,22:50:33,positive,0.9490237832069396,positive,0.9656932353973388,joy,0.594693124294281,positive,0.9704448580741882,positive,0.3651421070098877,positive
50,50,50,50,the overestimate of overdiagnosis is shameful it is calculated at the overstatement of anxiety as a harm is ridiculous and always brings me back to this opinion piece which sums it up nicely,ShielaAppavoo,2019-01-15,02:26:18,negative,0.9497101902961732,negative,0.8003247380256653,sadness,0.9747363328933716,positive,0.9799885749816896,negative,0.427643358707428,negative
51,51,51,51,we wish we could tell you how much you taught usto recognize our limits and embrace the realization that more is not always betterand we wish you could tell us whether we provided you with what we hoped in the end a dignified and comfortable death,DrRFernandez,2019-01-17,04:22:41,neutral,0.5701245665550232,neutral,0.587918221950531,joy,0.9987803101539612,positive,0.5271551012992859,negative,0.3711694777011871,neutral
52,52,52,52,physician burnout now essentially a public health crisis via,AnizKhalfan,2019-01-21,00:55:32,negative,0.947541356086731,negative,0.7929104566574097,sadness,0.444034069776535,negative,0.9911403059959412,negative,0.5772207975387573,negative
53,53,53,53,i know a couple of people with significant postmeasles hearing loss id call that a preventable chronic health problem,ShielaAppavoo,2019-01-24,04:52:44,negative,0.9159736037254332,negative,0.8695706725120544,joy,0.4820314347743988,negative,0.9356818795204164,negative,0.4470053911209106,negative
54,54,54,54,sadly the echoes of empire are heard in canada as well and are starting conversations about diversity in  maybe by the end of my career i wont have to answer this question anymore i mean where are youreallyfrom,DrRFernandez,2019-01-27,17:24:20,negative,0.7783382534980774,negative,0.494973212480545,joy,0.6084997057914734,negative,0.8828606605529785,negative,0.3508398532867431,negative
55,55,55,55,that makes me so sad,DrRFernandez,2019-01-28,05:04:33,negative,0.975342869758606,negative,0.9666964411735536,sadness,0.9984980821609496,negative,0.988925278186798,negative,0.4516927897930145,negative
56,56,56,56,i get that consolidation may save money but i mourn the loss of generalist hospitals i work in one amp value the fact that patients can get care closer to homeit means a lot to save them travel babysitting time off work and so on,DocSchmadia,2019-01-28,18:56:44,neutral,0.7395874261856079,neutral,0.528121292591095,joy,0.8077524900436401,positive,0.8777467608451843,negative,0.3626875281333923,neutral
57,57,57,57,screening contributes by ensuring its only  death rates almost always due to mets are higher in nonscreened populations its a cruel disease screeners arent ignoring the plight of mbc pts we are trying to reduce their numbers,ShielaAppavoo,2019-01-29,02:24:14,negative,0.950348138809204,negative,0.8608205318450928,anger,0.9813987612724304,positive,0.9261539578437804,negative,0.3858455419540405,negative
58,58,58,58,sadly very few people realize that a yo drug trial may be valid molecule is the same but a yr old technology based trial its like making computer security policy based on an atari mammo is not pong any more,ShielaAppavoo,2019-01-29,03:55:54,negative,0.914497435092926,negative,0.6054888367652893,joy,0.9939409494400024,negative,0.9941879510879515,negative,0.3793725967407226,negative
59,59,59,59,sadly though the motivation for pharmaceutical ramp is money no money no better drugs unless of course we are willing to pay for the independent research with tax dollars,ShielaAppavoo,2019-01-29,16:11:32,negative,0.9194887280464172,negative,0.6872836947441101,joy,0.9688461422920228,negative,0.9993104934692384,negative,0.4598488211631775,negative
60,60,60,60,by the age of  one in two canadians will have or had a mental illness depression is the most common,DocSchmadia,2019-01-30,15:09:58,negative,0.5413410663604736,negative,0.766542375087738,sadness,0.9584012031555176,negative,0.9319490790367126,negative,0.5243431925773621,negative
61,61,61,61,rates of depression in teens have doubled rates of feeling left out or lonely have doubled,DocSchmadia,2019-01-30,15:11:16,negative,0.9502068161964417,negative,0.772354006767273,sadness,0.9988583326339722,negative,0.969005525112152,negative,0.457920640707016,negative
62,62,62,62,never thought id find myself sad to have no egrets,ShielaAppavoo,2019-01-31,15:04:01,negative,0.9340850710868835,negative,0.5732578635215759,sadness,0.9984488487243652,positive,0.9898556470870972,neutral,0.384581983089447,negative
63,63,63,63,to raise awareness for womens health heart diseases and stroke caused death in women this is closest to ive got but it doesnt lessen my support talk to your doctor about and ,CalvinTongMD,2019-02-01,18:53:28,neutral,0.5507711172103882,neutral,0.607881486415863,sadness,0.5353084206581116,positive,0.9970664381980896,negative,0.4186685979366302,neutral
64,64,64,64,nobody really won  the patriots just loss less,mclaughlin_tom,2019-02-04,03:07:27,negative,0.9724463224411012,negative,0.5699593424797058,joy,0.8487337827682495,negative,0.9957104921340942,negative,0.4326944947242737,negative
65,65,65,65,from what i understand opiates may be overtaking as the number one cause of death in women under  i sympathize with your struggle,ShielaAppavoo,2019-02-04,05:38:28,negative,0.9074953198432922,negative,0.522796630859375,anger,0.9592882990837096,negative,0.7153928875923157,negative,0.4425692558288574,negative
66,66,66,66,good luck i know its stressful,ShielaAppavoo,2019-02-04,11:54:06,neutral,0.5995678901672363,neutral,0.4241902828216553,sadness,0.9690886735916138,positive,0.9121668934822084,negative,0.4561106860637665,neutral
67,67,67,67,im reminded of that dentists saying only floss the teeth you want to keepmy new breast screening recommendation only get screened if you want to minimize your chance of dying of breast cancer,ShielaAppavoo,2019-02-05,14:23:58,neutral,0.5359834432601929,negative,0.5641399621963501,sadness,0.6461769938468933,negative,0.9982011318206788,negative,0.3682710528373718,negative
68,68,68,68,waiting on formalities like having the primary healthcare provider present the imaging results just adds delay dr visits  and actually worsens the perceived harm of anxiety,ShielaAppavoo,2019-02-05,16:36:40,negative,0.95754736661911,negative,0.9324312210083008,fear,0.9180021286010742,negative,0.9921884536743164,negative,0.5172864198684692,negative
69,69,69,69,i have vr dictation system the dr gets a report within minutes patients and drs prefer the rad to take charge of the imaging and imagingguided procedures and its saferfaster and less chance for noncompliance or loss to follow up its a longstanding model that works well,ShielaAppavoo,2019-02-05,17:41:45,positive,0.7844424843788147,positive,0.7095797657966614,joy,0.9972507357597352,positive,0.9732489585876464,neutral,0.4373658299446106,positive
70,70,70,70,i worked with a fellow who was partly deaf from measles he thought it really had an impact on his enjoyment of music etc sad parents choose that for their children,ShielaAppavoo,2019-02-09,15:48:45,negative,0.9094163179397584,neutral,0.5357564091682434,sadness,0.9779638051986694,positive,0.9952400922775269,negative,0.4476937353610992,negative
71,71,71,71,interesting factors associated w depression poor faculty feedback poor learning long hrs higher research rank,bechardmel,2019-02-14,02:25:02,negative,0.9651705622673036,negative,0.5694736838340759,sadness,0.9605392217636108,negative,0.9933733940124512,negative,0.5062582492828369,negative
72,72,72,72, of resident errors are caused by fatigue sad but not surprising heres a great resource for anyone looking to improve their programinstitutions approach to resident fatigue,bechardmel,2019-02-15,02:57:30,negative,0.7527446746826172,neutral,0.4544402956962585,surprise,0.7153562903404236,negative,0.5235305428504944,negative,0.4020311534404754,negative
73,73,73,73,it happened to a close friend of mine who is half ashkenazi jewish and thus higher risk she told me she was glad shed hit  so she could finally get her dr to send her for a mammo sadly we hear that frequently from patients in our offices,ShielaAppavoo,2019-02-15,19:41:45,neutral,0.6975974440574646,neutral,0.5803072452545166,joy,0.9966766834259032,negative,0.9997535347938538,negative,0.5091531276702881,negative
74,74,74,74,and i wonder if the tf counts the harm of anxiety among women who cannot get screened in their s due to inability to get access,ShielaAppavoo,2019-02-15,23:48:10,negative,0.9560738205909728,negative,0.7778123617172241,fear,0.953909993171692,negative,0.9902753829956056,negative,0.4140167534351349,negative
75,75,75,75,i find it interestingly reminiscent of orwell that the latest buzzwords that i see everywhere are ai and burnout,ShielaAppavoo,2019-02-16,03:13:16,neutral,0.7464559674263,positive,0.6224410533905029,joy,0.9348735213279724,positive,0.7638616561889648,negative,0.4688425660133362,positive
76,76,76,76,im so sorry to hear about your suffering that sounds awful its good to know young people today dont have to suffer many of those diseases but doubly sad when their parents withhold vaccines,ShielaAppavoo,2019-02-18,04:13:30,negative,0.8668082356452942,negative,0.9177355766296388,sadness,0.9988808035850524,negative,0.9997368454933168,negative,0.4426453411579132,negative
77,77,77,77,in the philippines measles outbreak cases in one week and gt deaths so far most of them in unimmunized patients both numbers still climbing just tragic,DocSchmadia,2019-02-20,09:50:19,negative,0.975264847278595,negative,0.914226531982422,sadness,0.9982885718345642,negative,0.9988170862197876,negative,0.4184528887271881,negative
78,78,78,78,couldnt agree more vaccination is part of the social contract somehow weve lost sight of that  the globe and mail,DocMcConks,2019-02-21,00:34:38,neutral,0.7595643997192383,negative,0.6049575805664062,sadness,0.9984225034713744,negative,0.97444748878479,positive,0.4112159013748169,negative
79,79,79,79,and sadly tumour size node pos and neg is strongly correlated with survival my husband died of cancer at not a screenable type obviously there is nobody who would rather see cancer just go away id love to focus on ob ultrasound,ShielaAppavoo,2019-02-21,05:17:38,negative,0.9718568921089172,negative,0.9156046509742736,sadness,0.9966782331466676,negative,0.999508261680603,negative,0.4146516621112823,negative
80,80,80,80,nothing substantive just the only rct rule for benefits which they conveniently forget when they include everything including questionnaires  for harms notice they disregard decreased masty and ax dissection for benefits but emphasize anxiety for harms,ShielaAppavoo,2019-02-21,05:54:07,negative,0.9395341277122498,negative,0.6441701650619507,sadness,0.439721941947937,negative,0.9936007857322692,negative,0.3942108452320099,negative
